0	0.3064	0.516	0.2686	-0.0402	0.2412	0.0156	0.1348	0.1697	0.0564	0.0497	0.07	0.152	0.0173	0.0708	0.1106	0.0379	
0.02	0.2966	0.516	0.2686	-0.0446	0.2696	0.0272	0.135	0.2097	0.0647	0.0497	0.0888	0.1652	0.0172	0.0968	0.1106	0.0378	
0.04	0.2869	0.516	0.2686	-0.049	0.298	0.0389	0.1352	0.2496	0.0731	0.0496	0.1077	0.1783	0.0172	0.1228	0.1106	0.0378	
0.06	0.2771	0.5159	0.2686	-0.0534	0.3264	0.0505	0.1355	0.2896	0.0814	0.0496	0.1265	0.1915	0.0171	0.1488	0.1105	0.0378	
0.08	0.2673	0.5159	0.2686	-0.0578	0.3549	0.0622	0.1357	0.3296	0.0897	0.0496	0.1453	0.2047	0.017	0.1749	0.1105	0.0378	
0.1	0.2594	0.5157	0.2686	-0.0633	0.3834	0.0733	0.1365	0.3707	0.0991	0.0495	0.1669	0.2188	0.0172	0.2034	0.1113	0.0379	
0.12	0.2541	0.5152	0.2686	-0.066	0.4143	0.0834	0.1379	0.4164	0.1105	0.0495	0.1924	0.2299	0.0178	0.236	0.1128	0.038	
0.14	0.2517	0.5144	0.2686	-0.0665	0.4464	0.0925	0.1398	0.4649	0.1235	0.0499	0.2204	0.2386	0.019	0.2718	0.1154	0.0384	
0.16	0.2518	0.5132	0.2686	-0.066	0.478	0.1009	0.1424	0.5141	0.1375	0.0509	0.2497	0.2459	0.0211	0.3099	0.119	0.039	
0.18	0.2544	0.5115	0.2686	-0.0653	0.508	0.1097	0.146	0.5617	0.1525	0.0526	0.2789	0.2533	0.024	0.3491	0.1238	0.0399	
0.2	0.259	0.5093	0.2686	-0.0649	0.5354	0.1207	0.1512	0.6058	0.1685	0.0551	0.3065	0.2623	0.0281	0.3893	0.1306	0.0412	
0.22	0.265	0.5065	0.2686	-0.065	0.5597	0.1366	0.1587	0.6447	0.1867	0.0583	0.3316	0.2751	0.0338	0.4307	0.1404	0.0432	
0.24	0.2718	0.5033	0.2686	-0.0652	0.5807	0.1602	0.1696	0.677	0.2089	0.0624	0.3532	0.294	0.0419	0.4738	0.1553	0.0461	
0.26	0.2785	0.4995	0.2686	-0.0654	0.5986	0.1943	0.1851	0.7015	0.2373	0.0682	0.3713	0.321	0.0532	0.5188	0.177	0.0502	
0.28	0.2843	0.4954	0.2686	-0.0655	0.6137	0.2412	0.2064	0.7174	0.2742	0.077	0.3861	0.3577	0.0688	0.5661	0.207	0.056	
0.3	0.2887	0.491	0.2686	-0.0654	0.6265	0.3018	0.2345	0.7249	0.3213	0.0906	0.3984	0.4053	0.0896	0.6157	0.2458	0.0641	
0.32	0.2912	0.4863	0.2686	-0.0654	0.6376	0.376	0.2703	0.7254	0.3793	0.1107	0.4092	0.464	0.1164	0.6677	0.2933	0.076	
0.34	0.2916	0.4813	0.2686	-0.0653	0.6476	0.4618	0.3142	0.7212	0.4484	0.1383	0.4193	0.534	0.1504	0.722	0.3488	0.0936	
0.36	0.2898	0.4761	0.2686	-0.0653	0.6571	0.5563	0.3658	0.7148	0.5279	0.1736	0.4294	0.6147	0.1929	0.7778	0.4116	0.119	
0.38	0.2853	0.4708	0.2686	-0.0653	0.667	0.6553	0.424	0.7088	0.616	0.2164	0.4397	0.7041	0.2446	0.834	0.4805	0.1539	
0.4	0.2773	0.4656	0.2686	-0.0653	0.6782	0.7542	0.4864	0.7046	0.71	0.266	0.4505	0.7988	0.3044	0.8894	0.5531	0.1979	
0.42	0.2646	0.4606	0.2686	-0.0654	0.6921	0.8482	0.5499	0.7036	0.8061	0.3214	0.4615	0.8939	0.3695	0.9424	0.6258	0.2488	
0.44	0.2461	0.4561	0.2686	-0.0654	0.7099	0.9331	0.611	0.7064	0.9	0.3809	0.4727	0.984	0.4358	0.9918	0.6943	0.3033	
0.46	0.2213	0.4522	0.2686	-0.0653	0.7324	1.0057	0.6672	0.7137	0.988	0.4427	0.4841	1.0652	0.5001	1.0367	0.7556	0.3586	
0.48	0.1958	0.4482	0.2686	-0.0653	0.7545	1.0706	0.7247	0.7273	1.0751	0.5086	0.4959	1.1464	0.5716	1.0777	0.8154	0.4247	
0.5	0.1703	0.4442	0.2686	-0.0653	0.7767	1.1354	0.7822	0.7409	1.1622	0.5745	0.5078	1.2276	0.6432	1.1187	0.8752	0.4908	
0.52	0.1448	0.4401	0.2686	-0.0653	0.7989	1.2003	0.8397	0.7545	1.2493	0.6404	0.5196	1.3089	0.7148	1.1596	0.935	0.5569	
0.54	0.1193	0.4361	0.2686	-0.0653	0.8211	1.2652	0.8972	0.7681	1.3365	0.7063	0.5314	1.3901	0.7863	1.2006	0.9948	0.6231	
